"filename", "language", "YAML", "Dart", "JSON", "C++", "Markdown", "Swift", "XML", "HTML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\lib\pages\register_page.dart", "Dart", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 219
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\lib\pages\student_page.dart", "Dart", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 82
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\lib\pages\welcome_page.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 74
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\lib\services\firebase_service.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 83
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\lib\services\project_service.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 48
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\linux\my_application.cc", "C++", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\linux\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 4, 23
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\pubspec.yaml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 50
